italian,english
l'anno scorso,last year
l'anno prossimo,next year
il mese prossimo,next month
la settimana prossima,next week
Io e la mia fidanzata ci siamo incontrati a una festa,My fiancée and I met at a party
incontrarsi,to meet (each other)
Ieri ho incontrato il mio amico Marco,Yesterday I met my friend Marco
Faccio la boxe,I do boxing
Faccio il pugilato,I do boxing
L'istruttore era un pugile professionista,The instructor was a professional boxer
colpire,to hit
"Io colpisco, tu colpisci","I hit, you hit"
Odio quando l'altra persona mi colpisce in modo violento,I hate it when the other person hits me violently
La mia famiglia è formata da tre persone,My family is made up of three people
mio padre,my father
il mio papà,my dad
mia madre,my mother
la mia mamma,my mom
la mia cara sorella,my dear sister
la mia sorellina,my little sister
i miei genitori,my parents
i miei nonni,my grandparents
I miei nonni sono pensionati,My grandparents are retired
Mio padre è nato nel 1960,My father was born in 1960
Nel 1984 sono andato a Londra,In 1984 I went to London
"C'è, ci sono","There is, there are"
pieno,full
vuoto,empty
Secondo me è primavera perché c'è molto sole,In my opinion it's spring because there's a lot of sun
C'è molta frutta,There's a lot of fruit
I frutti dell'albero,The fruits of the tree
C'è molta verdura,There's a lot of vegetables
Descrivi un oggetto che per te è importante,Describe an object that is important to you
"esso, essa","it (m.), it (f.)"
2 volte alla settimana,twice a week
Mi piace molto ballare la salsa,I really like dancing salsa
Tutti i miei nonni,All my grandparents
Tutti e quattro i miei nonni,All four of my grandparents
mio nonno paterno,my paternal grandfather
mio nonno materno,my maternal grandfather
La mia fidanzata ha 29 anni,My fiancée is 29 years old
Io e la mia fidanzata abitiamo insieme da 8 anni,My fiancée and I have been living together for 8 years
Io e la mia fidanzata abbiamo abitato insieme per 8 anni,My fiancée and I lived together for 8 years
Lei è una studentessa di scienza della nutrizione,She is a nutrition science student
vestiti invernali,winter clothes
vestiti estivi,summer clothes
vestiti pesanti,heavy clothes
vestiti leggeri,light clothes
accarezzare,to caress / to stroke
abbracciare,to hug
abbracciarsi,to hug each other
La bambina ha un bel sorriso,The little girl has a lovely smile
la maglietta,the t-shirt
Lei ha riso,She laughed
il film è noioso,the film is boring
Non le piace,She doesn't like it
il cortometraggio,the short film
una studentessa,a (female) student
due borse,two bags
hanno pescato,they fished
il selfie,the selfie
gli uomini,the men
il quartiere,the neighborhood
il pianterreno,the ground floor
le camere da letto,the bedrooms
aveva,he/she/it had
le sedie,the chairs
i mobili,the furniture
È molto illuminato,It's very brightly lit
scura,dark (f.)
la parete,the wall
i quadri,the paintings
Lavoro da casa,I work from home
il sogno,the dream
l'avventura,the adventure
noleggiare,to rent (a vehicle)
l'autonoleggio,the car rental
prenotare un hotel,to book a hotel
mattiniero,early riser
la routine,the routine
i cereali,the cereal
grasso,fat
sano,healthy
Tu pranzi al lavoro?,Do you have lunch at work?
la città,the city
pensionata,retired (f.)
le macchine,the cars
l'energia,the energy
dormire,to sleep
Ho sonno,I'm sleepy
Ho conosciuto,I met / I got to know
la costruzione,the construction
i negozi,the shops
cambiare soldi,to change money
passeggiare,to stroll
Fra un mese,in a month
a piedi,on foot
È vecchio,It's old
Si deve riparare,It needs to be repaired
condividere,to share
pulire,to clean
la polizia,the police
È un poliziotto,He's a policeman
Ci siamo incontrati,We met
eravamo,we were
fuoristrada,off-road
una città fredda,a cold city
passare tempo,to spend time
Giocavo con il computer,I used to play on the computer
Giocavo a videogiochi,I used to play video games
le nostre biciclette,our bicycles
Suonavi uno strumento?,Did you play an instrument?
il cartone animato,the cartoon
Nuotavo,I used to swim
la squadra di nuoto,the swimming team
presto,early
La città aveva 2 milioni di abitanti,The city had 2 million inhabitants
il governo,the government
ingrassare,to gain weight
prenotare una lezione,to book a lesson
i compiti,the homework
A presto,See you soon
Sei pronto?,Are you ready?
Ti chiamo,I'll call you
D'accordo,Agreed / Okay
idealmente,ideally
