italian,english
impariamo a ballare salsa,we are learning to dance salsa
città,city
quartiere,neighbourhood
generalmente,generally
pensionata,retired (feminine)
vogliono,they want
gli piace,he/they like(s) it
macchine,cars
automobilistica,automotive
energia,energy
dormire,to sleep
ho sonno,I am sleepy
ho conosciuto,I met / I got to know
la costruzione,the construction
negozi,shops
cambiare soldi,to exchange money
passeggiano,they stroll
fra un mese,in a month
a piedi,on foot
è vecchio,it is old
si deve riparare,it needs to be repaired
condividere,to share
pulisco,I clean
polizia,police
è un poliziotto,he is a policeman
ci siamo incontrati,we met each other
eravamo,we were
fuoristrada,off-road vehicle
non ti sento,I can't hear you
città fredda,cold city
passare tempo,to spend time
giocavo con il computer,I used to play on the computer
giocavo a videogiochi,I used to play video games
bassotto,dachshund
le nostre biciclette,our bicycles
suonavi uno strumento?,did you play an instrument?
cartone animato,cartoon
nuotavo,I used to swim
squadra di nuoto,swimming team
le piace,she likes it
presto,early / soon
dovevo,I had to
rigidi,strict / rigid
lavorava,he/she used to work
la città aveva due milioni di abitanti,the city had two million inhabitants
cammelli,camels
il governo,the government
le dune,the dunes
rossetto,lipstick
palco,stage
dischi,records / discs
solista,soloist
cannuccia,straw (for drinking)
la mia generazione,my generation
non le piace,she doesn't like it
esagerato,exaggerated
scioccare,to shock
di volo,quickly / in a flash
attaccare,to attack / to stick
vicino al mare,near the sea
schiena,back (body part)
occhiali,glasses (eyewear)
occhi,eyes
venti minuti in macchina,twenty minutes by car
polline,pollen
edile,builder / construction worker
edilizia,construction industry
rubare,to steal
etichetta,label / etiquette
vietnamita,Vietnamese
da asporto,takeaway
strane,strange (feminine plural)
sono arrivato,I have arrived
la coniugazione,the conjugation
funziona,it works
fare pratica,to practice
orecchie,ears
insegnano,they teach
più grandi,bigger / older
camminata,walk
insegnante,teacher
piacere di conoscerti,nice to meet you
non ho potuto,I could not
sarebbe stata migliore,it would have been better
lavori per un'azienda,you work for a company
affittiamo,we rent
non posso comprare,I can't buy
via facile,easy path
quale lavoro ti piacerebbe fare?,what job would you like to do?
esperto finanziario,financial expert
lista,list
aperitivo,aperitif
un po' più alto,a bit taller
Torino,Turin
come è stato?,how was it?
diciannove,nineteen
possiamo partire,we can leave
mensa,canteen / cafeteria
borsa di studio,scholarship
maggiorenne,of legal age / adult
ovunque,everywhere
diciotto,eighteen
votare,to vote
regione,region
sedici anni,sixteen years old
meno potenza,less power
prezzo,price
litro,litre
gallone,gallon
tra,between / in (time)
comodo,comfortable
tutto,everything / all
moto,motorbike
motocicletta,motorcycle
seguire,to follow
regole,rules
corta,short (feminine)
distesa,expanse / stretch
terreni,lands / terrain
per cento,percent
rimane,it remains
prestito,loan
recentemente,recently
gradi,degrees
sciare,to ski
ghiaccio,ice
al chiuso,indoors
mondiali,world cup
competizione,competition
ha partecipato,he/she participated
vincere,to win
volare,to fly
scarsi,poor / lacking
schermo,screen
ossessionati,obsessed (plural)
aereo privato,private plane
drogato,drug addict
droghe,drugs
non è in condizione,he/she is not in condition
si è sviluppata,it has developed (feminine)
uno contro l'altro,one against the other
cervello,brain
infortunio,injury
ricordare,to remember
salsa,sauce
sei bravo?,are you good?
un giorno,one day
se vai a Roma farà caldo,if you go to Rome it will be hot
se tu fossi a Roma adesso non farebbe caldo,if you were in Rome now it wouldn't be hot
se tu fossi stato a Roma l'anno scorso sarebbe stato molto caldo,if you had been in Rome last year it would have been very hot
ipotesi,hypothesis
avrei voluto fare,I would have wanted to do
mi piaceva,I used to like it
provare a fare,to try to do
stanco,tired
canzone,song
voce,voice
ascoltare,to listen
musica,music
concerto,concert
successo,success
scusami,excuse me
problema,problem
prenotazione,reservation
motivazione,motivation
vacanza,vacation
futuro,future
andare,to go
settimane,weeks
lavoro,work / job
routine,routine
giornaliera,daily
colazione,breakfast
pranzo,lunch
palestra,gym
hobby,hobby
il tempo,weather
oggi,today
domani,tomorrow
piove,it rains
nuvoloso,cloudy
mare,sea
amico,friend (male)
amica,friend (female)
mi chiamo,my name is
come va,how is it going?
tutto bene,all good
sono nato,I was born
sono cresciuto,I grew up
banca,bank
biglietto,ticket
prenotare,to book / to reserve
parlare,to speak
Italia,Italy
vicino,near
lago,lake
turisti,tourists
aprile,April
maggio,May
scuola,school
bambini,children
lungo,long
leggere,to read
svago,leisure
tenore di vita,cost of living
visitare,to visit
studiare,to study
famiglia,family
lontano,far
un viaggio molto lungo,a very long trip
non sapevo parlare,I didn't know how to speak
non sapevo leggere,I didn't know how to read
non vuole imparare,he/she doesn't want to learn
quali,which (plural)
Venezia,Venice
sono stato a Roma,I have been to Rome
omelia,homily
predica,sermon
ti piace di più,you like it more
Pescara,Pescara
abbracciamo,we hug
non posso avere un cane,I can't have a dog
riportare la palla,to bring back the ball
imparare,to learn
delizioso,delicious
raccontami,tell me
molto,a lot / very
grazie,thank you
casa,house / home
ore,hours
scomodo,uncomfortable
